name;short_description;description;slug;category;active
Green T-shirt;A green t-shirt for men;A beautiful t-shirt of high quality made for men;green-tshirt-man;@3;True
Red T-shirt;A red t-shirt for men;A beautiful t-shirt of high quality made for men;red-tshirt-man;@3;True
Yellow T-shirt;A yellow t-shirt for men;A beautiful t-shirt of high quality made for men;yellow-tshirt-man;@3;True
Black T-shirt;A black t-shirt for men;A beautiful t-shirt of high quality made for men;black-tshirt-man;@3;True
Blue T-shirt;A blue t-shirt for men;A beautiful t-shirt of high quality made for men;blue-tshirt-man;@3;True
Pink T-shirt;A pink t-shirt for men;A beautiful t-shirt of high quality made for men;pink-tshirt-man;@3;True
Orange T-shirt;A orange t-shirt for men;A beautiful t-shirt of high quality made for men;orange-tshirt-man;@3;True
Purple T-shirt;A purple t-shirt for men;A beautiful t-shirt of high quality made for men;purple-tshirt-man;@3;True
Leather Bag;A nice leather bag for women;A beautiful high quality leather bag for women;leather-bag;@4;True
Jeans Bag;A nice leather bag for women;A beautiful high quality jeans bag for women;jeans-bag;@4;True
Fabric Bag;A nice fabric bag for women;A beautiful high quality fabric bag for women;fabric-bag;@4;True
Blue Fabric Bag;A nice blue fabric bag for women;A beautiful high quality blue fabric bag for women;blue-fabric-bag;@4;True
Red Fabric Bag;A nice red fabric bag for women;A beautiful high quality red fabric bag for women;red-fabric-bag;@4;True
Green Fabric Bag;A nice green fabric bag for women;A beautiful high quality green fabric bag for women;green-fabric-bag;@4;True